Id,Departamento,Tipo,Nombre,Direccion,Telefono,Latitud,Longitud,Fuente
849,Cochabamba,Veterinaria,Mauricio Camacho,Z/ Hipódromo,69448268,NA,NA,web
850,Cochabamba,Veterinaria,Cristian Herrera,Z/ Chimba,75910589,NA,NA,web
851,Cochabamba,Veterinaria,Mauricio Catorceno,Circunvalación y Beijing,70765804,-17.357125,-66.175947,web
852,Cochabamba,Veterinaria,Veterinaria Hospicio Animal,Tadeo Haenke y Antofagasta,76472124,-17.382859,-66.180372,web
853,Cochabamba,Veterinaria,Radiografia Digital Malluicy,Z/ Muyurina,75900858 - 72743200,NA,NA,web
854,Cochabamba,Veterinaria,Veterinaria ExoVet,Av. Libertador Simón Bolivar #1314,60393960 - 4424177,-17.377125,-66.161148,web
855,Cochabamba,Veterinaria,Jasmine Torrico,Puente Cobija,70794078,NA,NA,web
856,Cochabamba,Veterinaria,Monica Montes,Z/ Mesadilla - Pacata,77417339,NA,NA,web
857,Cochabamba,Veterinaria,Veterinaria Ameridog,Ayacucho norte - Costanera,70727814 - 70750372,-17.386414,-66.159959,web
858,Cochabamba,Veterinaria,José Luis M,Av. Víctor Ustariz,71460528,NA,NA,web
859,Cochabamba,Veterinaria,Lorena Rojas,Circunvalación Km. 7 - Sacaba,76454466,NA,NA,web
860,Cochabamba,Veterinaria,Veterinaria Don Animales,Z/ Sud - Base Aérea,70352125 -  4739462,NA,NA,web
861,Cochabamba,Veterinaria,Veterinaria Vasan,Villa Granado,78364101,NA,NA,web
862,Cochabamba,Veterinaria,Veterinaria Patushino,Z/ Las Cuadras av. 9 de Abril,71412435,-17.399437,-66.144656,web
863,Cochabamba,Veterinaria,Veterinaria Lulyvet,Av. Huaynakapac - Z/ Villa Coronilla,NA,NA,NA,web
864,Cochabamba,Veterinaria,Veterinaria Paraiso de los Animales,Los Ceibos,79790979,-17.367883,-66.171076,web
865,Cochabamba,Veterinaria,Veterinaria Dulces Mascotas,Simon Lopez- Z/ Cala Cala,77413146,-17.366189,-66.169723,web
866,Cochabamba,Veterinaria,Veterinaria CInaVET,"Z/Quintanilla, Av. Chapare.",71771720,-17.388979,-66.110836,web
867,Cochabamba,Veterinaria,Veterinaria Punto Pets,Av. General Galindo y America,77480497,-17.37465,-66.142739,web
868,Cochabamba,Veterinaria,Veterinaria VetCat,Villavivencio y Av. Dorbigni,72773969 - 74834384,NA,NA,web
869,Cochabamba,Veterinaria,Carmen Morales,"Z/ Norte. Candelaria, Segunda Circunvalación. Av. Los Ángeles calle 3",79983827,-17.344612,-66.172317,web
881,La Paz,Veterinaria,Veterinaria Del Sur,Z/ Calacoto,70616221,NA,NA,web
882,La Paz,Veterinaria,Animal Centro medico,Av. Montenegro,73006002,NA,NA,web
883,La Paz,Veterinaria,Dogtora Osita,NA,78910774,-16.523415,-68.148859,web
884,La Paz,Veterinaria,San José,C/Teniente Oquendo N°290,71247989,-16.487455,-68.142825,web
885,La Paz,Veterinaria,Wolf Vet,C/Juanito Benavente,75206916,-16.510631,-68.130081,web
886,La Paz,Veterinaria,Petite Pompom,Av. Sánchez Lima,71503365,NA,NA,web
887,La Paz,Veterinaria,Veterinaria Fátima,Z/Chasquipampa,72849127,NA,NA,web
888,La Paz,Veterinaria,Veterinaria Mejor Amigo,Z/Villa Fátima,71246688,NA,NA,web
889,La Paz,Veterinaria,Canis y Feliz,Plaza Villarroel,68044781,-16.484212,-68.121062,web
890,La Paz,Veterinaria,Sabuezo,Av. Tito Hupanqui,77244537,-16.493207,-68.117341,web
891,La Paz,Veterinaria,Bigotes,Av. Iturralde,70144342,NA,NA,web
892,La Paz,Veterinaria,Animalandia,C/Colombia,70149500,NA,NA,web
893,La Paz,Veterinaria,Peñaranda,Z/Chuquisaca,79130429,NA,NA,web
894,La Paz,Veterinaria,Animal Town,Z/Bajo Llojeta,76242259,-16.510168,-68.132681,web
895,La Paz,Veterinaria,Doberman,C/Claudio Sanjinez,72539572,-16.505554,-68.119471,web
896,La Paz,Veterinaria,Mariano Rubín de Celiz,Plaza Villarroel,75823142,NA,NA,web
897,La Paz,Veterinaria,Engreidogs,Av. Baltazar de Salas,78923498,-16.482388,-68.141914,web
898,La Paz,Veterinaria,Veterinaria Ciudad Satélite,Ciudad Satélite,78801673,NA,NA,web
917,Cochabamba,Veterinaria,CentralVet,Calle Colombia 641 entre Lanza y Antezana,4230865 - 65368404 - 65368404,-17.390496,-66.153997,web
